track_id,method_identity,domain,target_dimension,seed,target_call,phase,action_kind,point_fingerprint,true_objective_post_run,true_chance_margin_post_run,true_feasible_post_run,incumbent_true_objective_post_run,incumbent_feasible_regret_post_run,incumbent_status,problem_contract_fingerprint,result_sha256,target_truth_used_post_run_only,target_truth_used_for_search_or_selection,verification_samples_included
final_frozen_source_frontend_backend_d1000_n13,canonical_saasbo_every_iteration,FactorShockStatePolicyRZDT1,1000,82,5,initial_design,evaluated,383a8d2c55545a47469c7bda14ad3b0bf09e7841a4080c7aa99f6fc3e5518bf5,0.7466500000000003,0.44193166065452516,False,0.31375,0.00824999999999998,true_feasible_incumbent,ad7b57426b0eacf54fcb1f85c4ce79b7d2b580e9d98828ec4e6de06f15ac41ba,b875664299421a4eb28fee401cf37264f8f9af080c16ba262d04ed4cc88a54c5,True,False,False
final_frozen_source_frontend_backend_d1000_n13,canonical_saasbo_every_iteration,FactorShockStatePolicyRZDT1,1000,82,6,initial_design,evaluated,2a21fbca4afde68b56d658eb398eec1c18cfea76e83be743d536bf1dbb8932a6,0.9879069692014335,0.7318448786606174,False,0.31375,0.00824999999999998,true_feasible_incumbent,ad7b57426b0eacf54fcb1f85c4ce79b7d2b580e9d98828ec4e6de06f15ac41ba,b875664299421a4eb28fee401cf37264f8f9af080c16ba262d04ed4cc88a54c5,True,False,False
final_frozen_source_frontend_backend_d1000_n13,canonical_saasbo_every_iteration,FactorShockStatePolicyRZDT1,1000,82,7,initial_design,evaluated,9bee65563d1b9097ea3d46aa040250a3fd37198dfe9198f5005be061bea14991,1.1962303148594038,1.0280550737563021,False,0.31375,0.00824999999999998,true_feasible_incumbent,ad7b57426b0eacf54fcb1f85c4ce79b7d2b580e9d98828ec4e6de06f15ac41ba,b875664299421a4eb28fee401cf37264f8f9af080c16ba262d04ed4cc88a54c5,True,False,False
final_frozen_source_frontend_backend_d1000_n13,canonical_saasbo_every_iteration,FactorShockStatePolicyRZDT1,1000,82,8,initial_design,evaluated,4af593265f654d0f40747c70a4848ca4e46f41ff32358e22f5ec27bfb71b5889,0.8524832735538341,0.5914671054794358,False,0.31375,0.00824999999999998,true_feasible_incumbent,ad7b57426b0eacf54fcb1f85c4ce79b7d2b580e9d98828ec4e6de06f15ac41ba,b875664299421a4eb28fee401cf37264f8f9af080c16ba262d04ed4cc88a54c5,True,False,False
final_frozen_source_frontend_backend_d1000_n13,canonical_saasbo_every_iteration,FactorShockStatePolicyRZDT1,1000,82,9,initial_design,evaluated,8526caa1edb09639b853ac498ec104f4d3ed8c01846737632ef5625276510554,1.1465676847518187,0.9162813532974878,False,0.31375,0.00824999999999998,true_feasible_incumbent,ad7b57426b0eacf54fcb1f85c4ce79b7d2b580e9d98828ec4e6de06f15ac41ba,b875664299421a4eb28fee401cf37264f8f9af080c16ba262d04ed4cc88a54c5,True,False,False
final_frozen_source_frontend_backend_d1000_n13,canonical_saasbo_every_iteration,FactorShockStatePolicyRZDT1,1000,82,10,initial_design,evaluated,0e974b9c9ff76c000a158028f71710d913c1a65f3f18165b50e830055943aee5,0.9467434725215707,0.6789426400404842,False,0.31375,0.00824999999999998,true_feasible_incumbent,ad7b57426b0eacf54fcb1f85c4ce79b7d2b580e9d98828ec4e6de06f15ac41ba,b875664299421a4eb28fee401cf37264f8f9af080c16ba262d04ed4cc88a54c5,True,False,False
final_frozen_source_frontend_backend_d1000_n13,canonical_saasbo_every_iteration,FactorShockStatePolicyRZDT1,1000,82,11,adaptive_search,evaluated,2fd77217470bd83e0ef4215d6ee16bf3a4c73217ff4f90eb2cefaef897a7e3a7,0.3531795961527092,0.03009858931237358,False,0.31375,0.00824999999999998,true_feasible_incumbent,ad7b57426b0eacf54fcb1f85c4ce79b7d2b580e9d98828ec4e6de06f15ac41ba,b875664299421a4eb28fee401cf37264f8f9af080c16ba262d04ed4cc88a54c5,True,False,False
final_frozen_source_frontend_backend_d1000_n13,canonical_saasbo_every_iteration,FactorShockStatePolicyRZDT1,1000,82,12,adaptive_search,evaluated,5812e80d191a0019ed1dd7fce9b696b481471d27c4b72bd8ea13d5861eca4207,0.45864827124421714,0.19350059108457618,False,0.31375,0.00824999999999998,true_feasible_incumbent,ad7b57426b0eacf54fcb1f85c4ce79b7d2b580e9d98828ec4e6de06f15ac41ba,b875664299421a4eb28fee401cf37264f8f9af080c16ba262d04ed4cc88a54c5,True,False,False
final_frozen_source_frontend_backend_d1000_n13,canonical_saasbo_every_iteration,FactorShockStatePolicyRZDT1,1000,82,13,adaptive_search,evaluated,29c5a331c88f2d7898c1011fd7b85793bbdb32e087ee69ec740acfe5fb3ed533,0.34470822219617014,0.03141481103729215,False,0.31375,0.00824999999999998,true_feasible_incumbent,ad7b57426b0eacf54fcb1f85c4ce79b7d2b580e9d98828ec4e6de06f15ac41ba,b875664299421a4eb28fee401cf37264f8f9af080c16ba262d04ed4cc88a54c5,True,False,False
final_frozen_source_frontend_backend_d1000_n13,canonical_saasbo_every_iteration,FactorShockStatePolicyRZDT1,1000,83,1,initial_design,evaluated,84fb54c595d070e0a8b3d6f955740a9854275133d3aaf89f396a88ae1bdf73e2,0.31375,-0.033201874624488086,True,0.31375,0.00824999999999998,true_feasible_incumbent,ad7b57426b0eacf54fcb1f85c4ce79b7d2b580e9d98828ec4e6de06f15ac41ba,c44dfc12b58e6458f78aa03ae6e21d4a6eb7bb3b7d938456aebcb34d13c59766,True,False,False
